,Fraction of Outliers (Mean),Fraction of Outliers (Median),Fraction of Outliers (Std Dev),Fraction of Outliers IQR,Fraction of Outliers percent outliers,GCOR,Participant,Quality (Mean),Quality (Median),Quality (Std Dev),Quality IQR,Quality percent outliers,RMSD (Mean),RMSD (Median),RMSD (Std Dev),RMSD IQR,RMSD percent outliers,Series,Session,Site,Std. DVARS (Mean),Std. DVARS (Median),Std. DVARS (Std Dev),Std. DVARS percent outliers,Std. DVARs IQR,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
3109,0.0011720652,0.00082,0.0009771693,0.0006875,0.1032608696,0.0544720713,26047,0.0871466962,0.0867539,0.0016943754,0.001969925,0.0434782609,0.0762552758,0.0637812949,0.0449614913,0.0487005735,0.0597826087,rest_1,session_1,IPCAS_7,1.1669091164,1.1522184883,0.1339648193,0.0218579235,0.1547929662,,16,,,,1,,3,3,3.33,1,107.325317383,-83.0053710938,-49.2921218872,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          107.32531738],[ -0.           3.          -0.         -83.00537109],[  0.           0.           3.32999969 -49.29212189],0,2.5
3110,0.0013365217,0.000795,0.0028646111,0.00073,0.0869565217,0.087604489,26047,0.0896690022,0.0897245,0.0018872865,0.00193485,0.0326086957,0.1133534772,0.09260346,0.09092776,0.0861510782,0.0543478261,rest_2,session_1,IPCAS_7,1.1471488233,1.0855427373,0.2693955461,0.0546448087,0.2286689664,,16,,,,1,,3,3,3.33,1,107.325317383,-83.0053710938,-49.2921218872,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          107.32531738],[ -0.           3.          -0.         -83.00537109],[  0.           0.           3.32999969 -49.29212189],0,2.5
3111,0.011253587,0.00098,0.0271636664,0.0057875,0.1413043478,0.0206916509,26048,0.0826557804,0.07956535,0.0082008534,0.00626,0.0760869565,0.1681039697,0.0658230723,0.2634796888,0.111800679,0.1358695652,rest_2,session_1,IPCAS_7,1.2119809882,0.9144911442,0.8053952114,0.1639344262,0.3174388165,,16,,,,1,,3,3,3.33,1,111.373474121,-84.3122558594,-70.7359085083,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          111.37347412],[ -0.           2.99999976  -0.         -84.31225586],[  0.           0.           3.32999969 -70.73590851],0,2.5
3112,0.0012382609,0.000855,0.0009398596,0.0010325,0.0597826087,0.0281364699,26048,0.0781748495,0.0777512,0.0025016043,0.002258825,0.1032608696,0.0599887192,0.0454972552,0.0511263556,0.0439357107,0.0543478261,rest_1,session_1,IPCAS_7,1.0840073201,1.0606434165,0.1707241432,0.0273224044,0.1965900674,,16,,,,1,,3,3,3.33,1,111.373474121,-84.3122558594,-70.7359085083,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          111.37347412],[ -0.           2.99999976  -0.         -84.31225586],[  0.           0.           3.32999969 -70.73590851],0,2.5
3113,0.0011540761,0.00067,0.0014394002,0.0004925,0.1304347826,0.1339059099,26049,0.0797799283,0.079274,0.0028133909,0.002549425,0.1032608696,0.0593799427,0.0470707884,0.0477029181,0.0361026843,0.0760869565,rest_1,session_1,IPCAS_7,1.0270063494,1.0069645097,0.1123221942,0.0546448087,0.0893598176,,16,,,,1,,3,3,3.33,1,112.048217773,-86.180770874,-47.5976676941,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          112.04821777],[ -0.           2.99999976  -0.         -86.18077087],[  0.           0.           3.32999969 -47.59766769],0,2.5
3114,0.0019543478,0.00082,0.0042401184,0.000655,0.125,0.0682549666,26049,0.0726957522,0.07188685,0.0025631015,0.001678325,0.0923913043,0.0532898732,0.0393299631,0.0424663238,0.0358182615,0.0706521739,rest_2,session_1,IPCAS_7,1.1823564052,1.1541072283,0.1273584103,0.1202185792,0.081299002,,16,,,,1,,3,3,3.33,1,112.048217773,-86.180770874,-47.5976676941,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          112.04821777],[ -0.           2.99999976  -0.         -86.18077087],[  0.           0.           3.32999969 -47.59766769],0,2.5
3115,0.0012400543,0.00067,0.0024931911,0.0005375,0.0923913043,0.0355359005,26050,0.101646756,0.1010465,0.002545134,0.002268475,0.1195652174,0.0516435367,0.0383062612,0.0525128038,0.0347091394,0.0706521739,rest_1,session_1,IPCAS_7,1.2327293549,1.2103365718,0.1464632094,0.0546448087,0.1171774871,,16,,,,1,,3,3,3.33,1,118.795166016,-84.8324127197,-50.0293540955,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          118.79516602],[ -0.           3.          -0.         -84.83241272],[  0.           0.           3.32999992 -50.0293541 ],0,2.5
3116,0.0008645652,0.000615,0.000770675,0.0003025,0.1304347826,0.1013446644,26050,0.1044217717,0.1043925,0.001559404,0.00226275,0.0054347826,0.0411062166,0.0265141263,0.0536915393,0.0298818272,0.0760869565,rest_2,session_1,IPCAS_7,1.2100313969,1.1879626029,0.1555913058,0.043715847,0.083247264,,16,,,,1,,3,3,3.33,1,118.795166016,-84.8324127197,-50.0293540955,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          118.79516602],[ -0.           3.          -0.         -84.83241272],[  0.           0.           3.32999992 -50.0293541 ],0,2.5
3117,0.0012746196,0.000705,0.0017158037,0.00058,0.1032608696,0.2707809132,26051,0.0952373571,0.09496745,0.0022918825,0.00271105,0.0380434783,0.0455820079,0.0371388322,0.0357544715,0.0311440302,0.0760869565,rest_2,session_1,IPCAS_7,1.2118714856,1.2134827671,0.166798487,0.0983606557,0.1204711189,,16,,,,1,,3,3,3.33,1,96.1279602051,-89.1834487915,-22.9294261932,0,1,0,,,1,0,0,37,0,[ -2.99999976  -0.          -0.          96.12796021],[ -0.           3.00000024  -0.         -89.18344879],[  0.           0.           3.32999992 -22.92942619],0,2.5
3118,0.0049292391,0.000815,0.0085599901,0.0020975,0.2119565217,0.0491633231,26051,0.1069983603,0.1045415,0.0067800717,0.0089235,0,0.0759312622,0.0597631114,0.0668088866,0.0506698803,0.0543478261,rest_1,session_1,IPCAS_7,1.1468280314,1.1347465542,0.1931446899,0.0327868852,0.1470853906,,16,,,,1,,3,3,3.33,1,96.1279602051,-89.1834487915,-22.9294261932,0,1,0,,,1,0,0,37,0,[ -2.99999976  -0.          -0.          96.12796021],[ -0.           3.00000024  -0.         -89.18344879],[  0.           0.           3.32999992 -22.92942619],0,2.5
