,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Ghost_y,Participant,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
14,0.6087834692,22.5722709087,1.9642739998,1.9143533333,2.1885233333,1.808975,0.0792021751,3009,9.1283906007,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.7690582275,-73.3263320923,-14.2922992706,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.76905823],[ -0.           3.          -0.         -73.32633209],[  0.           0.           4.         -14.29229927],0,0
15,0.5574036574,14.6845715239,1.7215460654,1.7055633333,1.8956666667,1.578065,0.0615200512,3010,8.7664594097,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.3118743896,-80.8958511353,-18.8491783142,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.31187439],[ -0.           3.          -0.         -80.89585114],[  0.           0.           4.         -18.84917831],0,0
16,0.5583771262,14.761021329,1.7212825829,1.7064,1.8879033333,1.58305,0.0611751452,3010,8.7801800914,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.3118743896,-80.8958511353,-18.8491783142,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.31187439],[ -0.           3.          -0.         -80.89585114],[  0.           0.           4.         -18.84917831],0,0
17,0.5396416621,19.9788711414,2.0346874211,2.0499366667,2.2519664877,1.8246976088,0.0310683772,3011,10.4040050122,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.8848266602,-75.3053512573,-53.4836807251,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.88482666],[ -0.           3.00000024  -0.         -75.30535126],[  0.           0.           3.99999976 -53.48368073],0,0
18,0.5397724595,19.918303248,2.0258198729,2.04966,2.2407898219,1.8101701079,0.0303606652,3011,10.3660798639,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.8848266602,-75.3053512573,-53.4836807251,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.88482666],[ -0.           3.00000024  -0.         -75.30535126],[  0.           0.           3.99999976 -53.48368073],0,0
19,0.6136112649,19.7560227445,1.8671702411,1.8037801434,2.03868,1.77019,0.0899934471,3012,8.6498851343,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,94.448890686,-89.1905975342,-5.4452114105,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          94.44889069],[ -0.           3.          -0.         -89.19059753],[ 0.          0.          4.         -5.44521141],0,0
20,0.6104585935,20.1847223093,1.8546896505,1.7837501418,2.0411833333,1.7522525,0.0911258683,3012,8.7321222317,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,94.448890686,-89.1905975342,-5.4452114105,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          94.44889069],[ -0.           3.          -0.         -89.19059753],[ 0.          0.          4.         -5.44521141],0,0
21,0.5552298126,22.7994247432,1.6946740034,1.6652466667,1.9102368185,1.5300050912,0.0636005774,3013,10.0516279807,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,90.0535049438,-80.4280166626,-16.3458461761,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          90.05350494],[ -0.           2.99999976  -0.         -80.42801666],[  0.           0.           3.99999976 -16.34584618],0,0
22,0.5546831477,23.4095673212,1.7305712224,1.7073833333,1.9545501553,1.5530650926,0.0600651354,3013,10.2442525242,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,90.0535049438,-80.4280166626,-16.3458461761,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          90.05350494],[ -0.           2.99999976  -0.         -80.42801666],[  0.           0.           3.99999976 -16.34584618],0,0
23,0.616877887,19.0009086073,1.9116594124,1.8371,2.15708,1.7629226051,0.0955889001,3014,8.3837397473,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,96.8853378296,-82.0046615601,-6.1236419678,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          96.88533783],[ -0.           3.          -0.         -82.00466156],[ 0.          0.          3.99999976 -6.12364197],0,0
24,0.6190143927,18.8912945904,1.9536894137,1.88089,2.2205366667,1.7854451064,0.0920278952,3014,8.3279073158,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,96.8853378296,-82.0046615601,-6.1236419678,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          96.88533783],[ -0.           3.          -0.         -82.00466156],[ 0.          0.          3.99999976 -6.12364197],0,0
25,0.5670436724,18.402776768,1.9187793584,1.9104265148,2.0957466667,1.7644326052,0.0696414486,3015,9.2121542784,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.0349197388,-82.0720977783,-36.6400108337,0,1,0,,,1,0,0,0,0,[ -3.00000024  -0.          -0.          98.03491974],[ -0.           3.          -0.         -82.07209778],[  0.           0.           3.99999976 -36.64001083],0,0
26,0.5655936324,18.5133517145,1.9193093519,1.9110298481,2.0985433333,1.7629901051,0.0705678463,3015,9.1770151551,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.0349197388,-82.0720977783,-36.6400108337,0,1,0,,,1,0,0,0,0,[ -3.00000024  -0.          -0.          98.03491974],[ -0.           3.          -0.         -82.07209778],[  0.           0.           3.99999976 -36.64001083],0,0
27,0.6504636119,18.2862552533,1.8495743222,1.81161,2.08765,1.67299,0.0978198647,3016,7.5274569203,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.8848266602,-73.0479660034,-16.5959777832,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.88482666],[ -0.         3.        -0.       -73.047966],[  0.           0.           4.         -16.59597778],0,0
28,0.6518378688,17.8049874242,1.8512188163,1.8123833333,2.0949633333,1.6708875,0.0988814011,3016,7.4621697135,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.8848266602,-73.0479660034,-16.5959777832,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.88482666],[ -0.         3.        -0.       -73.047966],[  0.           0.           4.         -16.59597778],0,0
29,0.5998190385,14.337029033,2.1117212183,2.0604466667,2.4195664744,1.8889125,0.0848441273,3017,7.8302102467,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.4872360229,-79.5706558228,-8.9515781403,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          98.48723602],[ -0.           3.00000024  -0.         -79.57065582],[ 0.          0.          4.         -8.95157814],0,0
30,0.6034241432,13.2764319626,2.09494011,2.0331733333,2.4010798092,1.883365,0.0875304192,3017,7.5033003529,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.4872360229,-79.5706558228,-8.9515781403,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          98.48723602],[ -0.           3.00000024  -0.         -79.57065582],[ 0.          0.          4.         -8.95157814],0,0
31,0.5817678306,16.8769532979,1.9769758152,1.9343133333,2.22281,1.7971076071,0.073563911,3018,8.8225051454,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.0988464355,-77.8749465942,-23.8781299591,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.09884644],[ -0.           3.          -0.         -77.87494659],[  0.           0.           3.99999976 -23.87812996],0,0
32,0.5850062274,16.4197292825,2.0045263933,1.9679466667,2.2455733333,1.8226151086,0.0719997808,3018,8.7156943676,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.0988464355,-77.8749465942,-23.8781299591,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.09884644],[ -0.           3.          -0.         -77.87494659],[  0.           0.           3.99999976 -23.87812996],0,0
33,0.5674008798,17.0699612849,1.8194375093,1.7887434755,2.0478568294,1.644230098,0.0609402545,3020,8.8916367607,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,85.701385498,-70.6960983276,-51.4469871521,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          85.7013855 ],[ -0.           2.99999976  -0.         -70.69609833],[  0.           0.           3.99999976 -51.44698715],0,0
34,0.5701580657,16.580153319,1.8226659271,1.778996808,2.0479434961,1.6619850991,0.0570366308,3020,8.7631585739,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,85.701385498,-70.6960983276,-51.4469871521,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          85.7013855 ],[ -0.           2.99999976  -0.         -70.69609833],[  0.           0.           3.99999976 -51.44698715],0,0
35,0.5762147388,23.8598074927,1.9114110726,1.8627568147,2.1359566667,1.7551475,0.0493211709,3021,9.7024468661,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,91.6522064209,-68.4122085571,-40.5275878906,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          91.65220642],[ -0.           3.          -0.         -68.41220856],[  0.           0.           4.         -40.52758789],0,0
36,0.5771259573,23.3641372209,1.8981672913,1.8680668151,2.1071933333,1.7374225,0.0495779105,3021,9.6468674108,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,91.6522064209,-68.4122085571,-40.5275878906,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          91.65220642],[ -0.           3.          -0.         -68.41220856],[  0.           0.           4.         -40.52758789],0,0
37,0.5840469541,21.8455349799,1.9854617688,1.8893101501,2.3090268502,1.7941276069,0.0725799873,3022,9.3581890942,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,94.8705596924,-73.0681533813,-20.5908241272,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          94.87055969],[ -0.           2.99999976  -0.         -73.06815338],[  0.           0.           3.99999976 -20.59082413],0,0
38,0.5845130857,22.1806140068,2.0055772947,1.8971134841,2.3532168537,1.8070151077,0.0735808834,3022,9.3916824572,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,94.8705596924,-73.0681533813,-20.5908241272,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          94.87055969],[ -0.           2.99999976  -0.         -73.06815338],[  0.           0.           3.99999976 -20.59082413],0,0
39,0.5417246446,21.5422025182,1.7895275737,1.7221266667,2.0302198387,1.639105,0.0393229537,3023,10.1347082232,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.1960372925,-62.2489547729,-38.5044822693,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.19603729],[ -0.           3.00000024  -0.         -62.24895477],[  0.           0.           4.         -38.50448227],0,0
40,0.5404156759,21.7291271516,1.8022989026,1.7370533333,2.0542665034,1.6406275,0.0404023044,3023,10.1548354482,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.1960372925,-62.2489547729,-38.5044822693,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.19603729],[ -0.           3.00000024  -0.         -62.24895477],[  0.           0.           4.         -38.50448227],0,0
41,0.5985909897,17.127465498,2.0106379758,2.0010933333,2.1995901748,1.8466801101,0.0512305275,3024,8.468121316,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,94.8727798462,-65.3013153076,-58.53673172,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          94.87277985],[ -0.           2.99999976  -0.         -65.30131531],[  0.           0.           3.99999976 -58.53673172],0,0
42,0.5988942873,16.8993672004,1.9948593113,1.99689,2.1691301724,1.8327226092,0.0489716344,3024,8.4292351687,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,94.8727798462,-65.3013153076,-58.53673172,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          94.87277985],[ -0.           2.99999976  -0.         -65.30131531],[  0.           0.           3.99999976 -58.53673172],0,0
43,0.5671081321,17.7471292924,1.9651431892,1.8990633333,2.2240264899,1.7968151071,0.0499979891,3025,8.7879721761,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,89.4510955811,-60.2451095581,-37.2186203003,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          89.45109558],[ -0.           3.00000024  -0.         -60.24510956],[  0.           0.           3.99999976 -37.2186203 ],0,0
44,0.5650659685,18.1039290697,1.9805008864,1.9206766667,2.2385231554,1.8067926077,0.0500795245,3025,8.8409857508,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,89.4510955811,-60.2451095581,-37.2186203003,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          89.45109558],[ -0.           3.00000024  -0.         -60.24510956],[  0.           0.           3.99999976 -37.2186203 ],0,0
45,0.5520427847,24.035202237,1.9191215827,1.8577033333,2.14847,1.7709275,0.0559453852,3026,10.3047114785,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,86.8652954102,-88.0558700562,-28.9560165405,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          86.86529541],[ -0.           3.          -0.         -88.05587006],[  0.           0.           4.         -28.95601654],0,0
46,0.5512228703,24.1400024798,1.9439222497,1.88784,2.1770733333,1.787305,0.0524814166,3026,10.3039052165,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,86.8652954102,-88.0558700562,-28.9560165405,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          86.86529541],[ -0.           3.          -0.         -88.05587006],[  0.           0.           4.         -28.95601654],0,0
