,CNR,Cortical Contrast,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Participant,Qi1,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
243,8.050619322,0.3331914906,0.5168043404,298.8117913115,2.8362601691,2.6822501599,2.7220601622,3.12494,3017,0.3166112024,18.288163817,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,73.5417098999,-105.950515747,-120.131439209,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          73.5417099 ],[  -0.            0.99999994   -0.         -105.95051575],[   0.            0.            1.         -120.13143921],0,0
260,8.2526941466,0.3635094675,0.5040854371,287.383694701,2.89728,2.71752,2.88662,3.10034,3018,0.3605758896,16.8910802109,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,81.0537261963,-96.2771148682,-123.826889038,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         81.0537262],[ -0.           1.          -0.         -96.27711487],[   0.            0.            1.         -123.82688904],0,0
45,7.7204391207,0.3279930052,0.5111818384,308.4934108735,2.98847,2.7925,2.95904,3.23001,3020,0.294068252,17.8175303414,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,83.8855438232,-108.927719116,-135.433731079,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          83.88554382],[  -0.            1.           -0.         -108.92771912],[   0.            0.            1.         -135.43373108],0,0
287,10.6979411212,0.3503506931,0.4211345018,487.608161394,2.89834,2.74674,2.9182,3.03748,3021,0.2831971139,23.6055207134,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,92.1463623047,-106.518066406,-129.633712769,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         92.1463623],[  -0.            1.           -0.         -106.51806641],[   0.            0.            1.         -129.63371277],0,0
312,9.9953694661,0.3586740368,0.5084063076,391.8510586521,2.76923,2.61096,2.76884,2.9375,3022,0.3168461555,21.5345908008,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,89.8014068604,-108.927719116,-127.145225525,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          89.80140686],[  -0.            1.           -0.         -108.92771912],[   0.            0.            1.         -127.14522552],0,0
289,10.7533065802,0.3637204161,0.4644320238,361.0902871209,3.14783,2.93355,3.10241,3.42723,3023,0.2799557538,21.3122009897,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,91.7168655396,-102.903610229,-133.024093628,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          91.71686554],[  -0.            1.           -0.         -102.90361023],[   0.            0.            1.         -133.02409363],0,0
311,8.3091375468,0.302743052,0.4432979832,603.7103756557,2.61254,2.49161,2.6639,2.68654,3024,0.2550011197,22.62023466,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,87.5,-96.8795166016,-140.855422974,0,1,0,,,1,0,0,0,0,[ -1.   -0.   -0.   87.5],[ -0.          1.         -0.        -96.8795166],[   0.            0.            1.         -140.85542297],0,0
291,9.2467738513,0.3335843434,0.4907471588,400.3620212663,2.767570165,2.5714801533,2.70753,3.0446601815,3025,0.3685280421,20.9679341996,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,86.1106491089,-92.0602416992,-131.493011475,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          86.11064911],[ -0.          1.         -0.        -92.0602417],[   0.            0.            0.99999994 -131.49301147],0,0
297,8.2279907562,0.3489657682,0.4720901419,230.1040510934,3.02704,2.8754501714,3.00731,3.20753,3026,0.3497018788,17.6133142073,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,73.9606933594,-105.896591187,-115.525680542,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          73.96069336],[  -0.            1.           -0.         -105.89659119],[   0.            0.            1.         -115.52568054],0,0
195,9.7586296724,0.3504828192,0.4808681652,347.8245667158,3.10854,2.88102,3.07194,3.39399,3032,0.3681044649,21.1834945013,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,98.1194839478,-103.083709717,-121.578315735,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          98.11948395],[  -0.            1.           -0.         -103.08370972],[   0.            0.            1.         -121.57831573],0,0
299,8.2675575937,0.3338567244,0.5096599222,403.1998252166,3.14432,2.89922,3.15285,3.40093,3033,0.3017963373,20.3570344025,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,74.3635025024,-104.017333984,-126.790885925,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         74.3635025],[  -0.            1.           -0.         -104.01733398],[   0.            0.            1.         -126.79088593],0,0
309,10.8820690615,0.2806286835,0.3782342435,1201.7283104025,3.04418,2.76678,3.0325501808,3.36225,3034,0.3296530575,30.6697526752,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,99.7620162964,-104.794113159,-144.27557373,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         99.7620163],[  -0.            0.99999994   -0.         -104.79411316],[   0.            0.            1.         -144.27557373],0,0
266,10.7279264693,0.3742849699,0.4771692534,352.5075545534,2.9752,2.67398,2.96735,3.31909,3036,0.3012108423,23.9173237632,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,105.324279785,-105.944381714,-112.070022583,0,1,0,,,1,0,0,0,0,[  -1.           -0.           -0.          105.32427979],[  -0.            1.           -0.         -105.94438171],[   0.            0.            1.         -112.07002258],0,0
288,9.1494965646,0.3453798276,0.4840066971,358.7426846524,2.90631,2.70973,2.87384,3.15236,3037,0.2616352687,21.6515088802,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,96.1091537476,-110.734939575,-124.086013794,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          96.10915375],[  -0.            1.           -0.         -110.73493958],[   0.            0.            1.         -124.08601379],0,0
54,9.2110960316,0.3377526147,0.5260112758,438.0598765987,2.8291901686,2.6162201559,2.83258,3.0558301821,3038,0.3064076535,21.661040078,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,93.8083724976,-104.710845947,-134.134780884,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          93.8083725 ],[  -0.            1.           -0.         -104.71084595],[   0.            0.            0.99999994 -134.13478088],0,0
313,10.3281543094,0.3819759952,0.4770485903,364.5516053986,2.9796,2.76572,2.901,3.29701,3039,0.2923906231,21.02966381,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,81.228805542,-98.0845336914,-123.385543823,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          81.22880554],[ -0.           1.          -0.         -98.08453369],[   0.            0.            1.         -123.38554382],0,0
282,10.6912631826,0.342598183,0.4711788148,418.1423648828,2.82269,2.67602,2.9455201756,2.85323,3040,0.3504896018,23.0360252629,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,98.5925369263,-102.878433228,-120.143730164,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          98.59253693],[  -0.            0.99999994   -0.         -102.87843323],[   0.            0.            1.         -120.14373016],0,0
185,10.58219745,0.3875196048,0.4860764078,306.8089725713,2.88378,2.72106,2.84783,3.0948,3041,0.2992818773,20.3428146639,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,92.3192749023,-108.325302124,-119.168670654,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         92.3192749],[  -0.            1.           -0.         -108.32530212],[   0.            0.            1.         -119.16867065],0,0
293,9.4745063204,0.3700790174,0.5126107696,444.7145604407,2.96837,2.72657,2.93552,3.26779,3042,0.3332411472,22.1953960604,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,89.9541931152,-103.506027222,-133.475646973,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          89.95419312],[  -0.            1.           -0.         -103.50602722],[   0.            0.            1.         -133.47564697],0,0
305,10.2110809556,0.3388800972,0.4558549647,432.9721010322,2.8229301683,2.6912601604,2.83943,2.9438301755,3044,0.2480220145,23.5920667601,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,94.4105224609,-105.570877075,-123.894859314,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          94.41052246],[  -0.            1.           -0.         -105.57087708],[   0.            0.            0.99999994 -123.89485931],0,0
308,9.5121831189,0.3785318138,0.4783701164,235.390384237,2.90123,2.76545,2.8480101698,3.10056,3045,0.3102656499,18.7401662478,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,81.7587966919,-129.866760254,-125.163520813,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          81.75879669],[  -0.            0.99999994   -0.         -129.86676025],[   0.            0.            1.         -125.16352081],0,0
296,9.9163500412,0.3271823216,0.524367875,394.5035360537,2.8263301685,2.6989901609,2.7444201636,3.04802,3047,0.2463770529,22.3047709291,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,107.271324158,-104.346343994,-139.236663818,0,1,0,,,1,0,0,0,0,[  -0.99999994   -0.           -0.          107.27132416],[  -0.            0.99999994   -0.         -104.34634399],[   0.            0.            1.         -139.23666382],0,0
128,9.825807104,0.3312996163,0.4526068496,431.497511131,2.94414,2.73006,3.04942,3.06541,3049,0.2878970763,22.6361769498,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,67.0495452881,-113.653274536,-134.612762451,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          67.04954529],[  -0.            1.           -0.         -113.65327454],[   0.            0.            1.         -134.61276245],0,0
294,11.303743716,0.3474115042,0.394077027,395.7903543142,2.87314,2.7084501614,2.95748,2.96091,3050,0.2973159855,24.1947635184,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,97.539642334,-112.198043823,-130.221481323,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          97.53964233],[  -0.            1.           -0.         -112.19804382],[   0.            0.            1.         -130.22148132],0,0
136,8.5324558989,0.3387946691,0.5228301157,374.9750825494,2.88563,2.68129,2.85313,3.14091,3051,0.2883441507,19.390845797,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,88.8451766968,-91.7533874512,-119.168670654,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         88.8451767],[ -0.           1.          -0.         -91.75338745],[   0.            0.            1.         -119.16867065],0,0
304,9.7495551952,0.345466658,0.4888841428,366.0330055409,3.0441401814,2.9431301754,3.00755,3.18692019,3052,0.3393098521,18.8675291033,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,93.3638916016,-109.066741943,-144.181976318,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          93.3638916 ],[  -0.            1.           -0.         -109.06674194],[   0.            0.            0.99999994 -144.18197632],0,0
284,7.5174364671,0.3091442453,0.5132545887,305.6887993443,2.84944,2.76031,2.76745,3.02858,3054,0.3234567747,17.3913182004,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,92.2849884033,-99.2891540527,-131.200866699,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         92.2849884],[ -0.           1.          -0.         -99.28915405],[   0.           0.           1.        -131.2008667],0,0
271,6.8233705193,0.3178139626,0.4768998218,306.1870440417,3.41296,3.44321,3.47067,3.32673,3055,0.2937004051,18.3288410711,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,99.0514984131,-91.560333252,-136.343048096,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          99.05149841],[ -0.           1.          -0.         -91.56033325],[   0.           0.           1.        -136.3430481],0,0
276,9.9173287126,0.3509682805,0.4699995165,536.0608008222,2.76948,2.66037,2.8308301687,2.82058,3056,0.3199123079,20.4120925271,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,72.7988891602,-101.252304077,-148.072784424,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          72.79888916],[  -0.            0.99999994   -0.         -101.25230408],[   0.            0.            1.         -148.07278442],0,0
285,9.6653697951,0.3413868946,0.5146457175,419.452791405,2.7117901616,2.5632301528,2.6601101586,2.92469,3057,0.3524084773,21.5507393957,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,104.451446533,-92.6907653809,-133.506225586,0,1,0,,,1,0,0,0,0,[  -0.99999994   -0.           -0.          104.45144653],[ -0.           0.99999994  -0.         -92.69076538],[   0.            0.            1.         -133.50622559],0,0
275,7.3000379587,0.3389179518,0.4935368652,258.1391863282,3.16634,3.02693,3.12081,3.36049,3059,0.2962793032,15.8973486637,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,86.8362197876,-96.2771148682,-119.913604736,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          86.83621979],[ -0.           1.          -0.         -96.27711487],[   0.            0.            1.         -119.91360474],0,0
303,8.6486247952,0.326012363,0.4798074428,319.4067461446,2.98298,2.74654,2.9034,3.32856,3060,0.351316924,20.0573055986,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,84.6528549194,-101.382263184,-128.882858276,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          84.65285492],[  -0.            1.           -0.         -101.38226318],[   0.            0.            1.         -128.88285828],0,0
290,7.7807046412,0.3415815935,0.4819101402,302.78836706,3.12433,3.04744,3.07358,3.25604,3061,0.2547445232,19.6769126624,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,72.365447998,-96.7891693115,-121.380737305,0,1,0,,,1,0,0,0,0,[ -1.        -0.        -0.        72.365448],[ -0.           1.          -0.         -96.78916931],[   0.           0.           1.        -121.3807373],0,0
253,9.142272985,0.3161013852,0.4780666956,837.2612407898,3.15505,2.80555,3.03934,3.68318,3062,0.4756718899,24.9317407409,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,88.262046814,-86.332359314,-129.409637451,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          88.26204681],[ -0.           1.          -0.         -86.33235931],[   0.            0.            1.         -129.40963745],0,0
307,7.9052465327,0.3186025536,0.4864644428,305.2776789279,3.06714,2.98476,3.10604,3.11231,3063,0.3530359906,18.5627927124,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,75.4364471436,-93.77734375,-123.449645996,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          75.43644714],[ -0.           1.          -0.         -93.77734375],[   0.          0.          1.       -123.449646],0,0
283,9.3254315662,0.3651167499,0.4771222777,311.0003980306,2.90167,2.78081,2.84666,3.086290184,3064,0.3747905824,19.7303971853,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,81.4656677246,-88.4206008911,-121.176841736,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          81.46566772],[ -0.           1.          -0.         -88.42060089],[   0.            0.            0.99999994 -121.17684174],0,0
74,12.8837912498,0.3678278237,0.4784768741,1333.8200884205,3.6013329972,3.33032,3.74064128,3.74935552,21001,0.2364413342,27.0672471685,anat_1,session_1,NKI_TRT,,16,,,,1,,1,0.976562,0.976562,1,87.5,-99.2292480469,-141.379364014,0,1,0,,,1,0,0,0,0,[ -1.   -0.   -0.   87.5],[ -0.           0.9765625   -0.         -99.22924805],[   0.            0.            0.9765625  -141.37936401],0,0
280,11.9319310168,0.2961006166,0.4397076298,1010.1533749885,3.22933,3.04788,3.31342,3.33476,21002,0.2834822177,26.5525858607,anat_1,session_1,NKI_TRT,,16,,,,1,,1,1,1,1,95.5,-106.958831787,-147.455200195,0,1,0,,,1,0,0,0,0,[ -1.   -0.   -0.   95.5],[  -0.            1.           -0.         -106.95883179],[   0.           0.           1.        -147.4552002],0,0
278,10.7408433157,0.2848258927,0.4582900566,984.3954979247,3.00459,2.83553,3.01955,3.16795,21006,0.4501811571,26.5684932233,anat_1,session_1,NKI_TRT,,16,,,,1,,1,1,1,1,95.5,-102,-130.71913147,0,1,0,,,1,0,0,0,0,[ -1.   -0.   -0.   95.5],[  -0.    1.   -0. -102.],[   0.            0.            1.         -130.71913147],0,0
302,10.3665731327,0.2746429479,0.4495100591,1079.7439501199,3.36303,3.25171,3.56424,3.28181,21018,0.2726541815,27.387235024,anat_1,session_1,NKI_TRT,,16,,,,1,,1,1,1,1,95.5,-102,-152,0,1,0,,,1,0,0,0,0,[ -1.   -0.   -0.   95.5],[  -0.    1.   -0. -102.],[   0.    0.    1. -152.],0,0
